MilestoneID, Name, Dependencies, EstimatedEffort, Lead, Completed, Description
1, Functional Tokens, -, 3, oll16, 29e181368b69d92d52f0ea9d6d2c07afcef3cf3b,Lexing of all basic C constructs
2, Expression Parsing, 1, 4, both, 994210821e11d2970ebb9e8312e4d57e52ac9003, Parse nodes for Expressions
3, Statement Parsing, 1, 3, oll16, , Parse nodes for statements
4, Declaration Parsing, 1, 4, dl5215, , Complete implementation of parse nodes / grammar for relevant python constructs
5, Translate, 2+3+4, 4, dl5215, , complete python code generation
6, Test python, 5, 2, dl5215, , test python code with formative tests
7, Debug python, 6, 3, dl5215, , debug and finalise python translator
8, Advanced Tokens, 1, 3, oll16, , Tokenise all C90 constructs
9, Intermediate Parsing, 2+3+4, 3, oll16, , Implement parse nodes / grammar for more advanced C constructs
10, Basic Codegen, 9, 3, oll16, , Code generation using infinite register model of currently supported constructs
11, Testing Intermediate, 10, 4, dl5215, , Debug & test by hand that latest additions are Functional
12, Register/Memory Management, 11, 5, oll16, , Devise prototype algorithm to optimise register use and manage Memory
13, Write basic testbench, 11, 2, dl5215, , Ensure that executable instructions are generated and workable
